,Date,1D,2D,Total
0,2020-12-27,23853,0,23853
1,2020-12-28,18385,0,18385
2,2020-12-29,47718,0,47718
3,2020-12-30,61108,0,61108
4,2020-12-31,48358,0,48358
5,2021-01-01,19274,0,19274
6,2021-01-02,52393,0,52393
7,2021-01-03,24088,0,24088
8,2021-01-04,48344,0,48344
9,2021-01-05,53333,0,53333
10,2021-01-06,62744,0,62744
11,2021-01-07,55764,0,55764
12,2021-01-08,62364,0,62364
13,2021-01-09,60802,0,60802
14,2021-01-10,34974,0,34974
15,2021-01-11,66090,0,66090
16,2021-01-12,82522,0,82522
17,2021-01-13,110267,0,110267
18,2021-01-14,82219,0,82219
19,2021-01-15,89209,670,89879
20,2021-01-16,55871,960,56831
21,2021-01-17,30569,16666,47235
22,2021-01-18,65186,15557,80743
23,2021-01-19,79918,31958,111876
24,2021-01-20,79243,50477,129720
25,2021-01-21,63944,39616,103560
26,2021-01-22,67375,34205,101580
27,2021-01-23,40673,44527,85200
28,2021-01-24,25419,23734,49153
29,2021-01-25,58005,37728,95733
30,2021-01-26,50930,48101,99031
31,2021-01-27,51564,58893,110457
32,2021-01-28,44926,45739,90665
33,2021-01-29,51017,56439,107456
34,2021-01-30,34936,50734,85670
35,2021-01-31,26433,30006,56439
36,2021-02-01,58467,61473,119940
37,2021-02-02,62317,66221,128538
38,2021-02-03,63060,92481,155541
39,2021-02-04,60102,69402,129504
40,2021-02-05,65336,75100,140436
41,2021-02-06,46026,51116,97142
42,2021-02-07,28045,24834,52879
43,2021-02-08,53172,55909,109081
44,2021-02-09,59122,72456,131578
45,2021-02-10,73014,74273,147287
46,2021-02-11,73081,68043,141124
47,2021-02-12,79529,75520,155049
48,2021-02-13,61512,45962,107474
49,2021-02-14,39742,25020,64762
50,2021-02-15,70184,55539,125723
51,2021-02-16,81294,52790,134084
52,2021-02-17,94016,55103,149119
53,2021-02-18,91792,51365,143157
54,2021-02-19,98418,52921,151339
55,2021-02-20,76371,37581,113952
56,2021-02-21,56885,28867,85752
57,2021-02-22,99271,60307,159578
58,2021-02-23,106007,59279,165286
59,2021-02-24,114550,58534,173084
60,2021-02-25,129352,57547,186899
61,2021-02-26,142340,63099,205439
62,2021-02-27,107729,39488,147217
63,2021-02-28,83679,24193,107872
64,2021-03-01,143982,49097,193079
65,2021-03-02,164062,53198,217260
66,2021-03-03,172400,67486,239886
67,2021-03-04,177653,62043,239696
68,2021-03-05,195934,65858,261792
69,2021-03-06,152635,48914,201549
70,2021-03-07,114537,34497,149034
71,2021-03-08,183558,52231,235789
72,2021-03-09,193689,54663,248352
73,2021-03-10,214375,64859,279234
74,2021-03-11,216595,60582,277177
75,2021-03-12,246131,71213,317344
76,2021-03-13,195591,49329,244920
77,2021-03-14,134659,36042,170701
78,2021-03-15,186840,58756,245596
79,2021-03-16,112124,66862,178986
80,2021-03-17,123920,78756,202676
81,2021-03-18,117957,74742,192699
82,2021-03-19,157332,82030,239362
83,2021-03-20,163899,53778,217677
84,2021-03-21,126633,38769,165402
85,2021-03-22,184228,76669,260897
86,2021-03-23,208459,82741,291200
87,2021-03-24,228764,87116,315880
88,2021-03-25,239036,78891,317927
89,2021-03-26,259902,87707,347609
90,2021-03-27,214845,62949,277794
91,2021-03-28,140156,52301,192457
92,2021-03-29,207070,87664,294734
93,2021-03-30,213378,91643,305021
94,2021-03-31,205534,99934,305468
95,2021-04-01,193319,89732,283051
96,2021-04-02,146510,70441,216951
