Data As Of,Start Date,End Date,Group,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,All Ages,517575,3967620,445717,251203,8982,719838,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,Under 1 year,48,21400,231,8,21,292,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,0-17 years,226,37537,634,42,178,996,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,1-4 years,28,3877,133,5,60,216,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,5-14 years,84,6246,185,17,76,328,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,15-24 years,747,40387,882,298,81,1407,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,18-29 years,1866,71479,2063,827,150,3240,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,25-34 years,3346,83719,3311,1522,237,5354,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,30-39 years,5485,101822,4993,2514,318,8260,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,35-44 years,8734,120275,7764,4115,358,12705,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,40-49 years,14792,153493,12649,7258,493,20607,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,45-54 years,24350,221905,21170,12429,774,33750,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,50-64 years,77215,648381,70813,40738,2123,109091,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,55-64 years,62247,514903,57476,32985,1655,88142,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,65-74 years,113198,795802,102457,60267,1932,157012,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,75-84 years,144064,969808,125817,72833,1949,198728,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,All Sexes,85 years and over,160729,1189298,126291,66724,1839,221904,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,All Ages,283374,2079277,249686,145164,4642,391777,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,Under 1 year,30,11834,137,5,10,172,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,0-17 years,131,22040,349,23,97,554,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,1-4 years,17,2209,63,3,38,115,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,5-14 years,46,3709,102,12,37,173,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,15-24 years,446,29795,528,174,38,834,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,18-29 years,1153,52220,1239,482,77,1978,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,25-34 years,2123,59042,2017,941,116,3303,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,30-39 years,3590,69089,3098,1651,157,5179,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,35-44 years,5730,78791,4792,2697,188,7986,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,40-49 years,9731,97715,7805,4748,273,13012,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,45-54 years,16212,139273,13220,8270,453,21534,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,50-64 years,49788,401085,43559,26091,1230,68262,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,55-64 years,39789,317496,35191,20893,954,54868,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,65-74 years,69453,463534,62117,37426,1080,95021,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,75-84 years,81296,507486,72327,42739,981,111712,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Male,85 years and over,68232,466108,59192,32004,747,96059,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,All Ages,234201,1888343,196031,106039,4340,328061,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,Under 1 year,18,9566,94,3,11,120,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,0-17 years,95,15497,285,19,81,442,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,1-4 years,11,1668,70,2,22,101,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,5-14 years,38,2537,83,5,39,155,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,15-24 years,301,10592,354,124,43,573,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,18-29 years,713,19259,824,345,73,1262,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,25-34 years,1223,24677,1294,581,121,2051,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,30-39 years,1895,32733,1895,863,161,3081,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,35-44 years,3004,41484,2972,1418,170,4719,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,40-49 years,5061,55778,4844,2510,220,7595,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,45-54 years,8138,82632,7950,4159,321,12216,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,50-64 years,27427,247296,27254,14647,893,40829,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,55-64 years,22458,197407,22285,12092,701,33274,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,65-74 years,43745,332268,40340,22841,852,61991,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,75-84 years,62768,462322,53490,30094,968,87016,
03/17/2021,01/01/2020,03/13/2021,By Total,,,United States,Female,85 years and over,92497,723190,67099,34720,1092,125845,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,All Ages,9820,75950,6846,3341,153,13462,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,Under 1 year,,437,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,0-17 years,,759,11,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,1-4 years,0,97,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,5-14 years,0,114,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,15-24 years,10,828,15,,,26,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,18-29 years,31,1374,29,,,55,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,25-34 years,63,1547,59,23,,103,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,30-39 years,109,1972,100,36,,178,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,35-44 years,188,2502,141,60,,275,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,40-49 years,298,3305,210,93,,421,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,45-54 years,527,4795,348,171,14,718,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,50-64 years,1705,14090,1220,557,50,2416,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,55-64 years,1356,11180,997,439,39,1951,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,65-74 years,2524,16821,1767,890,44,3442,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,75-84 years,2867,19411,2009,1038,26,3859,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,All Sexes,85 years and over,2283,18218,1500,718,15,3075,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,All Ages,5259,39619,3730,1825,89,7245,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,Under 1 year,,255,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,0-17 years,,473,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,1-4 years,0,55,0,0,0,0,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,5-14 years,0,75,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,15-24 years,,620,,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,18-29 years,23,1020,15,,,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,25-34 years,40,1076,36,13,,65,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,30-39 years,66,1283,62,23,,107,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,35-44 years,109,1576,87,38,,161,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,40-49 years,170,2046,129,54,,248,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,45-54 years,291,2877,202,93,,407,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,50-64 years,965,8431,675,307,31,1363,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,55-64 years,779,6719,551,245,26,1110,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,65-74 years,1489,9719,1059,531,27,2042,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,75-84 years,1580,9818,1096,569,13,2117,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Male,85 years and over,964,6829,690,335,,1325,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,All Ages,4561,36331,3116,1516,64,6217,
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,Under 1 year,,182,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
03/17/2021,01/01/2020,03/13/2021,By Total,,,Alabama,Female,0-17 years,,286,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
